id,normalizacion,protocolo,pliegue,indice_pliegue,modelo,semilla,accuracy,balanced_accuracy,f1_macro,accuracy_espejado,accuracy_val,n_train,n_val,n_test,tiempo_entrenamiento_s,tiempo_prediccion_test_s,epocas,mejor_epoca,dispositivo
17,ninguna,lopo,p5,4,mlp,0,0.8637137989778535,0.8622220330647297,0.8565295278739993,0.8620102214650767,0.9690140845070423,7956,355,587,217.00295330001973,0.003458099963609129,55.0,35.0,cuda: NVIDIA GeForce RTX 5070 Laptop GPU
18,ninguna,lopo,p5,4,svm,0,0.8109028960817717,0.8082092460182349,0.8017852247926652,0.7666098807495741,0.9633802816901409,7956,355,587,1.7804504999658093,0.03613909997511655,,,cpu
19,ninguna,lopo,p5,4,logreg,0,0.8824531516183987,0.8816863390458894,0.8798637540507572,0.9028960817717206,0.923943661971831,7956,355,587,0.24424590001581237,0.0007214999641291797,,,cpu
20,ninguna,lopo,p1,0,cnn_baseline,1,0.8986013986013986,0.8981635806079548,0.8981953438255291,0.8758741258741258,0.9467787114845938,8008,357,572,145.80135500000324,0.005454200028907508,33.0,13.0,cuda: NVIDIA GeForce RTX 5070 Laptop GPU
21,ninguna,lopo,p1,0,mlp,1,0.8548951048951049,0.8540302639140739,0.8528067940781545,0.8601398601398601,0.9467787114845938,8008,357,572,218.60515860002488,0.003705599985551089,55.0,35.0,cuda: NVIDIA GeForce RTX 5070 Laptop GPU
22,ninguna,lopo,p1,0,svm,1,0.8234265734265734,0.8223326430182029,0.820211666921676,0.8234265734265734,0.9355742296918768,8008,357,572,1.6778621000121348,0.03215990000171587,,,cpu
23,ninguna,lopo,p1,0,logreg,1,0.8688811188811189,0.8680535439987841,0.8676313232399435,0.8601398601398601,0.9159663865546218,8008,357,572,0.24145079997833818,0.0006469999789260328,,,cpu
24,ninguna,lopo,p2,1,cnn_baseline,1,0.9487179487179487,0.9478293357095201,0.9478704795876673,0.9264957264957265,0.9463276836158192,7968,354,585,154.9891417999752,0.00492779997875914,35.0,15.0,cuda: NVIDIA GeForce RTX 5070 Laptop GPU
25,ninguna,lopo,p2,1,mlp,1,0.958974358974359,0.9577722584635028,0.9577817967270169,0.947008547008547,0.9548022598870056,7968,354,585,399.33125419996213,0.0031145999673753977,101.0,81.0,cuda: NVIDIA GeForce RTX 5070 Laptop GPU
26,ninguna,lopo,p2,1,svm,1,0.9128205128205128,0.9110873501580898,0.9103204134408535,0.9145299145299145,0.923728813559322,7968,354,585,1.943406899983529,0.04170079994946718,,,cpu
27,ninguna,lopo,p2,1,logreg,1,0.9076923076923077,0.9069508351421982,0.9075153987120927,0.8974358974358975,0.9322033898305084,7968,354,585,0.2834898000000976,0.0007433999562636018,,,cpu
28,ninguna,lopo,p3,2,cnn_baseline,1,0.9489795918367347,0.9486615329251559,0.9479357512005572,0.9489795918367347,0.9518413597733711,7960,353,588,185.0609250999987,0.004943300038576126,42.0,22.0,cuda: NVIDIA GeForce RTX 5070 Laptop GPU
29,ninguna,lopo,p3,2,mlp,1,0.9387755102040817,0.9385773578409808,0.9376102491716297,0.9336734693877551,0.9546742209631728,7960,353,588,265.1450077999616,0.0031445000204257667,67.0,47.0,cuda: NVIDIA GeForce RTX 5070 Laptop GPU
30,ninguna,lopo,p3,2,svm,1,0.935374149659864,0.9351935194571425,0.9342931295563649,0.9217687074829932,0.9263456090651558,7960,353,588,2.0050122000393458,0.04415750002954155,,,cpu
31,ninguna,lopo,p3,2,logreg,1,0.9302721088435374,0.9300388802818848,0.9291974810682301,0.9285714285714286,0.9178470254957507,7960,353,588,0.2667011999874376,0.0008095999946817756,,,cpu
32,ninguna,lopo,p4,3,cnn_baseline,1,0.9649415692821369,0.9649663299663299,0.9649286184117432,0.9682804674457429,0.9405099150141643,7916,353,599,132.54406350001227,0.004843200033064932,30.0,10.0,cuda: NVIDIA GeForce RTX 5070 Laptop GPU
33,ninguna,lopo,p4,3,mlp,1,0.9782971619365609,0.9782491582491583,0.9781048769908969,0.9749582637729549,0.9405099150141643,7916,353,599,294.741098199971,0.003404499962925911,74.0,54.0,cuda: NVIDIA GeForce RTX 5070 Laptop GPU
34,ninguna,lopo,p4,3,svm,1,0.9699499165275459,0.9699158249158248,0.969785146507312,0.9265442404006677,0.9320113314447592,7916,353,599,1.9982324999873526,0.04782670002896339,,,cpu
35,ninguna,lopo,p4,3,logreg,1,0.9499165275459098,0.94996632996633,0.9498464477658851,0.9499165275459098,0.9150141643059491,7916,353,599,0.4279761000070721,0.0005367999547161162,,,cpu
36,ninguna,lopo,p5,4,cnn_baseline,1,0.8449744463373083,0.8455574471304809,0.8356871087299066,0.9011925042589438,0.971830985915493,7956,355,587,163.8003889999818,0.0049294999917037785,37.0,17.0,cuda: NVIDIA GeForce RTX 5070 Laptop GPU
37,ninguna,lopo,p5,4,mlp,1,0.8773424190800682,0.877581621458026,0.870441065264988,0.8551959114139693,0.9802816901408451,7956,355,587,304.7010316999513,0.0036696000024676323,77.0,57.0,cuda: NVIDIA GeForce RTX 5070 Laptop GPU
38,ninguna,lopo,p5,4,svm,1,0.8143100511073254,0.8126943593235728,0.8051932547072363,0.7597955706984668,0.9605633802816902,7956,355,587,1.8642912999494001,0.03679400001419708,,,cpu
39,ninguna,lopo,p5,4,logreg,1,0.8824531516183987,0.8816863390458897,0.8799599284443351,0.9028960817717206,0.923943661971831,7956,355,587,0.23668019997421652,0.0005529000191017985,,,cpu
40,muneca_escala_rot,lopo,p1,0,cnn_baseline,0,0.9300699300699301,0.9293238596181429,0.9297552448647449,0.9230769230769231,0.9355742296918768,8008,357,572,94.12421740003629,0.004365800006780773,21.0,1.0,cuda: NVIDIA GeForce RTX 5070 Laptop GPU
