VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
1,01/01/2020 12:46:31 AM,01/01/2020 01:11:12 AM,3,1.9,1,N,161,68,2,15.5,3,0.5,0,0,0.3,19.3,2.5
2,01/01/2020 12:35:15 AM,01/01/2020 12:41:53 AM,1,1.79,1,N,236,239,2,8,0.5,0.5,0,0,0.3,11.8,2.5
2,01/01/2020 12:43:19 AM,01/01/2020 12:54:48 AM,1,2.02,1,N,238,263,1,10,0.5,0.5,2.2,0,0.3,16,2.5
2,01/01/2020 12:59:27 AM,01/01/2020 01:18:53 AM,1,3.83,1,N,262,50,2,16,0.5,0.5,0,0,0.3,19.8,2.5
1,01/01/2020 12:33:32 AM,01/01/2020 12:39:18 AM,2,1.4,1,N,141,263,1,6.5,3,0.5,1.55,0,0.3,11.85,2.5
1,01/01/2020 12:51:06 AM,01/01/2020 12:57:10 AM,2,1.8,1,N,263,229,1,7.5,3,0.5,2.8,0,0.3,14.1,2.5
2,01/01/2020 12:50:31 AM,01/01/2020 12:53:45 AM,1,0.55,1,N,74,74,2,4,0.5,0.5,0,0,0.3,5.3,0
2,01/01/2020 12:24:47 AM,01/01/2020 12:35:09 AM,1,1.2,1,N,161,170,2,8,0.5,0.5,0,0,0.3,11.8,2.5
2,01/01/2020 12:47:36 AM,01/01/2020 01:13:47 AM,2,2.25,1,N,170,142,1,16,0.5,0.5,2.97,0,0.3,22.77,2.5
2,01/01/2020 12:05:45 AM,01/01/2020 12:19:30 AM,2,2.15,1,N,158,79,1,10.5,0.5,0.5,2.86,0,0.3,17.16,2.5
2,01/01/2020 12:22:35 AM,01/01/2020 12:38:31 AM,1,2.8,1,N,79,13,2,13,0.5,0.5,0,0,0.3,16.8,2.5
2,01/01/2020 12:42:33 AM,01/01/2020 01:03:11 AM,1,7.53,1,N,13,141,1,24,0.5,0.5,6.95,0,0.3,34.75,2.5
1,01/01/2020 12:34:58 AM,01/01/2020 12:45:28 AM,0,2.8,1,N,145,224,2,11,3,0.5,0,6.12,0.3,20.92,2.5
1,01/01/2020 12:46:41 AM,01/01/2020 12:51:14 AM,3,0.7,1,N,224,107,1,5,3,0.5,1.75,0,0.3,10.55,2.5
1,01/01/2020 12:55:25 AM,01/01/2020 01:10:34 AM,0,2.6,1,N,137,140,1,11.5,3,0.5,3.05,0,0.3,18.35,2.5
1,01/01/2020 12:12:57 AM,01/01/2020 12:24:06 AM,1,1.8,1,N,90,233,1,9.5,3,0.5,2.65,0,0.3,15.95,2.5
1,01/01/2020 12:52:34 AM,01/01/2020 01:05:28 AM,4,0.7,1,N,161,163,2,9,3,0.5,0,0,0.3,12.8,2.5
1,01/01/2020 12:05:04 AM,01/01/2020 12:14:12 AM,1,1.8,1,N,239,262,1,8.5,3,0.5,3.65,0,0.3,15.95,2.5
1,01/01/2020 12:20:49 AM,01/01/2020 12:31:07 AM,1,1.9,1,N,263,238,1,9,3,0.5,3.8,0,0.3,16.6,2.5
1,01/01/2020 12:34:19 AM,01/01/2020 12:43:44 AM,1,1.3,1,N,239,151,1,8,3,0.5,1,0,0.3,12.8,2.5
1,01/01/2020 12:45:58 AM,01/01/2020 12:52:15 AM,1,1.8,1,N,238,142,1,7.5,3,0.5,2.8,0,0.3,14.1,2.5
1,01/01/2020 12:53:24 AM,01/01/2020 01:31:06 AM,1,2.7,1,N,142,170,1,15.5,3,0.5,1,0,0.3,20.3,2.5
1,01/01/2020 12:26:22 AM,01/01/2020 12:33:14 AM,2,0.3,1,N,90,90,2,5.5,3,0.5,0,0,0.3,9.3,2.5
1,01/01/2020 12:45:25 AM,01/01/2020 01:12:19 AM,1,5.2,1,N,113,37,1,21.5,3,0.5,0,0,0.3,25.3,2.5
2,01/01/2020 12:30:59 AM,01/01/2020 12:53:36 AM,1,9.93,1,N,132,122,1,30,0.5,0.5,6.26,0,0.3,37.56,0
1,01/01/2020 12:41:48 AM,01/01/2020 01:14:40 AM,3,4.4,1,N,48,144,1,22,3,0.5,5.15,0,0.3,30.95,2.5
2,01/01/2020 12:29:19 AM,01/01/2020 12:39:51 AM,1,1.66,1,N,43,262,2,9,0.5,0.5,0,0,0.3,12.8,2.5
2,01/01/2020 12:43:09 AM,01/01/2020 12:47:52 AM,1,0.86,1,N,263,236,1,5.5,0.5,0.5,1.86,0,0.3,11.16,2.5
2,01/01/2020 12:41:47 AM,01/01/2020 12:49:06 AM,1,0.53,1,N,234,234,2,6,0.5,0.5,0,0,0.3,9.8,2.5
2,01/01/2020 12:20:53 AM,01/01/2020 12:31:57 AM,1,2.39,1,N,236,143,1,10.5,0.5,0.5,2.86,0,0.3,17.16,2.5
2,01/01/2020 12:33:14 AM,01/01/2020 12:39:03 AM,1,0.95,1,N,143,48,1,6.5,0.5,0.5,2.06,0,0.3,12.36,2.5
2,01/01/2020 12:49:04 AM,01/01/2020 12:51:50 AM,1,0.4,1,N,143,142,2,4,0.5,0.5,0,0,0.3,7.8,2.5
2,01/01/2020 12:59:46 AM,01/01/2020 01:09:36 AM,1,1.54,1,N,239,238,2,8,0.5,0.5,0,0,0.3,11.8,2.5
2,01/01/2020 12:53:34 AM,01/01/2020 01:15:49 AM,3,1.72,1,N,48,164,2,14,0.5,0.5,0,0,0.3,17.8,2.5
1,01/01/2020 12:23:50 AM,01/01/2020 12:38:12 AM,1,2.8,1,N,234,141,1,12,3,0.5,3.15,0,0.3,18.95,2.5
1,01/01/2020 12:59:55 AM,01/01/2020 01:14:21 AM,1,2,1,N,43,262,2,11,3,0.5,0,0,0.3,14.8,2.5
