id,normalizacion,protocolo,pliegue,indice_pliegue,modelo,semilla,accuracy,balanced_accuracy,f1_macro,accuracy_espejado,accuracy_val,n_train,n_val,n_test,tiempo_entrenamiento_s,tiempo_prediccion_test_s,epocas,mejor_epoca,dispositivo
52,ninguna,lopo,p3,2,cnn_baseline,1,0.9302721088435374,0.9300210039238022,0.9296001814552631,0.935374149659864,0.9490084985835694,1990,353,588,117.3883388999966,0.005646099976729602,92.0,72.0,cuda: NVIDIA GeForce RTX 5070 Laptop GPU
53,ninguna,lopo,p3,2,mlp,1,0.9047619047619048,0.9049073241709471,0.9022112766840463,0.9030612244897959,0.9405099150141643,1990,353,588,192.09202570002526,0.0034669999731704593,165.0,145.0,cuda: NVIDIA GeForce RTX 5070 Laptop GPU
54,ninguna,lopo,p3,2,svm,1,0.9064625850340136,0.9066076608712837,0.9035722426932439,0.9217687074829932,0.9121813031161473,1990,353,588,0.9969598000170663,0.07208939996780828,,,cpu
55,ninguna,lopo,p3,2,random_forest,1,0.8860544217687075,0.8860921969537582,0.8836738345557116,0.8877551020408163,0.8470254957507082,1990,353,588,4.207639600033872,0.039146399998571724,,,cpu
56,ninguna,lopo,p4,3,cnn_baseline,1,0.9515859766277128,0.9516161616161617,0.9513653166854796,0.9515859766277128,0.9461756373937678,1979,353,599,74.75636800000211,0.007106600038241595,60.0,40.0,cuda: NVIDIA GeForce RTX 5070 Laptop GPU
57,ninguna,lopo,p4,3,mlp,1,0.9749582637729549,0.9749494949494949,0.9748753225838048,0.9766277128547579,0.9235127478753541,1979,353,599,128.71163199999137,0.004440199991222471,110.0,90.0,cuda: NVIDIA GeForce RTX 5070 Laptop GPU
58,ninguna,lopo,p4,3,svm,1,0.9549248747913188,0.9549158249158248,0.9545830933638942,0.9148580968280468,0.9065155807365439,1979,353,599,1.0373451000195928,0.10406590002821758,,,cpu
59,ninguna,lopo,p4,3,random_forest,1,0.8948247078464107,0.8948653198653198,0.8927166246286494,0.8898163606010017,0.8526912181303116,1979,353,599,4.1374163999571465,0.04297539999242872,,,cpu
60,ninguna,lopo,p5,4,cnn_baseline,1,0.8006814310051107,0.7986925434116445,0.7894342266110961,0.8858603066439523,0.9746478873239437,1989,355,587,83.06637840002077,0.023555200023110956,62.0,42.0,cuda: NVIDIA GeForce RTX 5070 Laptop GPU
61,ninguna,lopo,p5,4,mlp,1,0.8551959114139693,0.8539936821397495,0.8471796433609337,0.868824531516184,0.9633802816901409,1989,355,587,116.93488060001982,0.004178700037300587,97.0,77.0,cuda: NVIDIA GeForce RTX 5070 Laptop GPU
62,ninguna,lopo,p5,4,svm,1,0.7717206132879046,0.7698670222827526,0.7539555272529955,0.706984667802385,0.9436619718309859,1989,355,587,1.0561708000022918,0.07593150000320747,,,cpu
63,ninguna,lopo,p5,4,random_forest,1,0.686541737649063,0.6880380584874967,0.6658613182323214,0.6882453151618398,0.9070422535211268,1989,355,587,4.242829099996015,0.03316900000208989,,,cpu
64,ninguna,lopo,p1,0,cnn_baseline,2,0.8688811188811189,0.8680257579098112,0.8679570552563605,0.8706293706293706,0.9439775910364145,2002,357,572,71.99769200000446,0.01039650000166148,52.0,32.0,cuda: NVIDIA GeForce RTX 5070 Laptop GPU
65,ninguna,lopo,p1,0,mlp,2,0.8234265734265734,0.8218229752290389,0.8213111217465595,0.8444055944055944,0.9495798319327731,2002,357,572,98.69318790000398,0.003788099973462522,81.0,61.0,cuda: NVIDIA GeForce RTX 5070 Laptop GPU
66,ninguna,lopo,p1,0,svm,2,0.8111888111888111,0.8105478175879086,0.8083796522819414,0.8111888111888111,0.9243697478991597,2002,357,572,0.9911435000249185,0.07439470000099391,,,cpu
67,ninguna,lopo,p1,0,random_forest,2,0.7727272727272727,0.7726176895746287,0.7748924967690306,0.7867132867132867,0.8991596638655462,2002,357,572,4.06779490003828,0.05281500000273809,,,cpu
68,ninguna,lopo,p2,1,cnn_baseline,2,0.9487179487179487,0.94805936255245,0.9482532815024359,0.9333333333333333,0.9463276836158192,1992,354,585,106.52482330001658,0.005839599994942546,82.0,62.0,cuda: NVIDIA GeForce RTX 5070 Laptop GPU
69,ninguna,lopo,p2,1,mlp,2,0.9230769230769231,0.922332276018912,0.9212280403277653,0.8991452991452992,0.9322033898305084,1992,354,585,151.35273699997924,0.0034073999850079417,134.0,114.0,cuda: NVIDIA GeForce RTX 5070 Laptop GPU
70,ninguna,lopo,p2,1,svm,2,0.905982905982906,0.904323465133955,0.9040812182199819,0.8923076923076924,0.8983050847457628,1992,354,585,1.3596804999979213,0.09068459999980405,,,cpu
71,ninguna,lopo,p2,1,random_forest,2,0.8717948717948718,0.8700486103213074,0.867878921471546,0.8700854700854701,0.8728813559322034,1992,354,585,3.6341737000038847,0.05360859999200329,,,cpu
72,ninguna,lopo,p3,2,cnn_baseline,2,0.9319727891156463,0.9316526156437791,0.9313309350951915,0.923469387755102,0.9405099150141643,1990,353,588,104.37297770002624,0.004821399983484298,82.0,62.0,cuda: NVIDIA GeForce RTX 5070 Laptop GPU
73,ninguna,lopo,p3,2,mlp,2,0.9285714285714286,0.9284595127231356,0.9267489117526096,0.9336734693877551,0.9263456090651558,1990,353,588,161.0927437999635,0.0036958999698981643,145.0,125.0,cuda: NVIDIA GeForce RTX 5070 Laptop GPU
74,ninguna,lopo,p3,2,svm,2,0.9064625850340136,0.9066076608712837,0.9034630362796895,0.9217687074829932,0.9121813031161473,1990,353,588,1.2387582999654114,0.11020540003664792,,,cpu
